ticker,status,order,aic,test_rmse,test_mae,test_mape,directional_accuracy,selection_method,model_path,error,error_type
GEHC,success,"(3, 0, 4)",-619.546866348431,,,,,,arimaxmodels\GEHC_arimax.pkl,,
GEV,success,"(0, 0, 0)",-235.42594797184097,,,,,,arimaxmodels\GEV_arimax.pkl,,
GE,success,"(0, 0, 0)",-670.6110734717627,,,,,,arimaxmodels\GE_arimax.pkl,,
GILD,success,"(3, 0, 5)",-701.7472904384664,,,,,,arimaxmodels\GILD_arimax.pkl,,
GIS,success,"(0, 0, 5)",-733.8463600339817,,,,,,arimaxmodels\GIS_arimax.pkl,,
GLW,success,"(0, 0, 4)",-680.7076530087721,,,,,,arimaxmodels\GLW_arimax.pkl,,
GOOGL,success,"(0, 0, 6)",-640.6923543193715,,,,,,arimaxmodels\GOOGL_arimax.pkl,,
GOOG,success,"(0, 0, 0)",-646.5965250113122,,,,,,arimaxmodels\GOOG_arimax.pkl,,
GPN,success,"(6, 0, 0)",-647.1571620674093,,,,,,arimaxmodels\GPN_arimax.pkl,,
GRMN,success,"(2, 0, 0)",-745.6607222716015,,,,,,arimaxmodels\GRMN_arimax.pkl,,
GS,success,"(0, 0, 0)",-692.4399831613416,,,,,,arimaxmodels\GS_arimax.pkl,,
GWW,success,"(2, 0, 0)",-718.2162550734097,,,,,,arimaxmodels\GWW_arimax.pkl,,
HAS,success,"(5, 0, 6)",-616.1523082297036,,,,,,arimaxmodels\HAS_arimax.pkl,,
HBAN,success,"(3, 0, 2)",-658.4877451412457,,,,,,arimaxmodels\HBAN_arimax.pkl,,
HCA,success,"(3, 0, 4)",-692.6409184143406,,,,,,arimaxmodels\HCA_arimax.pkl,,
HD,success,"(0, 0, 0)",-716.2054176612324,,,,,,arimaxmodels\HD_arimax.pkl,,
HLT,success,"(5, 0, 4)",-675.8886312138171,,,,,,arimaxmodels\HLT_arimax.pkl,,
HOLX,success,"(6, 0, 0)",-722.3871988244524,,,,,,arimaxmodels\HOLX_arimax.pkl,,
HON,success,"(0, 0, 3)",-762.4783093022282,,,,,,arimaxmodels\HON_arimax.pkl,,
HPQ,success,"(2, 0, 6)",-653.3020013238738,,,,,,arimaxmodels\HPQ_arimax.pkl,,
HSY,success,"(4, 0, 1)",-685.0255770925282,,,,,,arimaxmodels\HSY_arimax.pkl,,
HUBB,success,"(0, 0, 4)",-630.631021372238,,,,,,arimaxmodels\HUBB_arimax.pkl,,
HUM,success,"(0, 0, 2)",-656.300761841743,,,,,,arimaxmodels\HUM_arimax.pkl,,
IBM,success,"(0, 0, 0)",-753.9324197516429,,,,,,arimaxmodels\IBM_arimax.pkl,,
ICE,success,"(4, 0, 6)",-714.7888810083635,,,,,,arimaxmodels\ICE_arimax.pkl,,
IDXX,success,"(0, 0, 0)",-616.3055504614465,,,,,,arimaxmodels\IDXX_arimax.pkl,,
IEX,success,"(0, 0, 0)",-706.6216120349748,,,,,,arimaxmodels\IEX_arimax.pkl,,
ILMN,success,"(1, 0, 1)",-527.7333796756888,,,,,,arimaxmodels\ILMN_arimax.pkl,,
INTC,success,"(0, 0, 1)",-588.4532325087936,,,,,,arimaxmodels\INTC_arimax.pkl,,
INTU,success,"(3, 0, 6)",-612.6194137868064,,,,,,arimaxmodels\INTU_arimax.pkl,,
